season,week,team_name,opponent,result,team_score,opponent_score,is_bye,is_playoff
2020,4,Gonna Get a TD,PokerA9,Loss,116.34,143.80,false,
2020,4,PokerA9,Gonna Get a TD,Win,143.80,116.34,false,
2020,5,Drafted 3 Defenses🤦‍♂️,PokerA9,Loss,95.42,114.78,false,
2020,5,PokerA9,Drafted 3 Defenses🤦‍♂️,Win,114.78,95.42,false,
2020,5,Good Times,Gonna Get a TD,Loss,112.02,117.62,false,
2020,5,Gonna Get a TD,Good Times,Win,117.62,112.02,false,
2020,5,Eric's Team,11 Bar Blues,Win,107.70,105.72,false,
2020,5,11 Bar Blues,Eric's Team,Loss,105.72,107.70,false,
2020,5,angry cat,Whiskey DITKA,Loss,94.34,117.26,false,
2020,5,Whiskey DITKA,angry cat,Win,117.26,94.34,false,
2020,5,Going Streaking,Big Al,Win,140.82,112.50,false,
2020,5,Big Al,Going Streaking,Loss,112.50,140.82,false,
2020,6,Drafted 3 Defenses🤦‍♂️,angry cat,Loss,73.16,104.52,false,
2020,6,angry cat,Drafted 3 Defenses🤦‍♂️,Win,104.52,73.16,false,
2020,6,Good Times,Eric's Team,Win,101.08,94.60,false,
2020,6,Eric's Team,Good Times,Loss,94.60,101.08,false,
2020,6,11 Bar Blues,Gonna Get a TD,Loss,82.38,105.20,false,
2020,6,Gonna Get a TD,11 Bar Blues,Win,105.20,82.38,false,
2020,6,Going Streaking,PokerA9,Loss,99.24,107.84,false,
2020,6,PokerA9,Going Streaking,Win,107.84,99.24,false,
2020,6,Whiskey DITKA,Big Al,Loss,117.60,149.64,false,
2020,6,Big Al,Whiskey DITKA,Win,149.64,117.60,false,
2020,7,Drafted 3 Defenses🤦‍♂️,Good Times,Loss,96.22,136.48,false,
2020,7,Good Times,Drafted 3 Defenses🤦‍♂️,Win,136.48,96.22,false,
2020,7,Eric's Team,Going Streaking,Win,158.02,115.66,false,
2020,7,Going Streaking,Eric's Team,Loss,115.66,158.02,false,
2020,7,angry cat,Whiskey DITKA,Win,145.50,120.86,false,
2020,7,Whiskey DITKA,angry cat,Loss,120.86,145.50,false,
2020,7,11 Bar Blues,PokerA9,Loss,92.92,117.92,false,
2020,7,PokerA9,11 Bar Blues,Win,117.92,92.92,false,
2020,7,Gonna Get a TD,Big Al,Loss,83.80,147.38,false,
2020,7,Big Al,Gonna Get a TD,Win,147.38,83.80,false,
2020,8,Drafted 3 Defenses🤦‍♂️,Whiskey DITKA,Win,129.58,100.44,false,
2020,8,Whiskey DITKA,Drafted 3 Defenses🤦‍♂️,Loss,100.44,129.58,false,
2020,8,Good Times,11 Bar Blues,Loss,63.96,114.46,false,
2020,8,11 Bar Blues,Good Times,Win,114.46,63.96,false,
2020,8,Eric's Team,PokerA9,Loss,95.64,128.54,false,
2020,8,PokerA9,Eric's Team,Win,128.54,95.64,false,
2020,8,angry cat,Big Al,Loss,93.34,96.72,false,
2020,8,Big Al,angry cat,Win,96.72,93.34,false,
2020,8,Gonna Get a TD,Going Streaking,Loss,112.04,112.42,false,
2020,8,Going Streaking,Gonna Get a TD,Win,112.42,112.04,false,
2020,9,Drafted 3 Defenses🤦‍♂️,Eric's Team,Loss,111.20,133.90,false,
2020,9,Eric's Team,Drafted 3 Defenses🤦‍♂️,Win,133.90,111.20,false,
2020,9,Good Times,Going Streaking,Win,110.60,78.86,false,
2020,9,Going Streaking,Good Times,Loss,78.86,110.60,false,
2020,9,angry cat,PokerA9,Loss,92.30,107.20,false,
2020,9,PokerA9,angry cat,Win,107.20,92.30,false,
2020,9,11 Bar Blues,Big Al,Win,105.14,101.94,false,
2020,9,Big Al,11 Bar Blues,Loss,101.94,105.14,false,
2020,9,Gonna Get a TD,Whiskey DITKA,Win,120.48,110.54,false,
2020,9,Whiskey DITKA,Gonna Get a TD,Loss,110.54,120.48,false,
2020,10,Drafted 3 Defenses🤦‍♂️,Gonna Get a TD,Loss,92.88,107.78,false,
